Cursor moved to (363, 79), brush_size = 6, color = white
Cursor moved to (363, 80), brush_size = 6, color = white
Cursor moved to (363, 84), brush_size = 6, color = white
Cursor moved to (364, 87), brush_size = 6, color = white
Cursor moved to (364, 91), brush_size = 6, color = white
Cursor moved to (366, 97), brush_size = 6, color = white
Cursor moved to (368, 102), brush_size = 6, color = white
Cursor moved to (370, 108), brush_size = 6, color = white
Cursor moved to (372, 112), brush_size = 6, color = white
Cursor moved to (374, 116), brush_size = 6, color = white
Cursor moved to (377, 120), brush_size = 6, color = white
Cursor moved to (379, 122), brush_size = 6, color = white
Cursor moved to (382, 124), brush_size = 6, color = white
Cursor moved to (386, 125), brush_size = 6, color = white
Cursor moved to (389, 126), brush_size = 6, color = white
Cursor moved to (392, 126), brush_size = 6, color = white
Cursor moved to (394, 126), brush_size = 6, color = white
Cursor moved to (397, 126), brush_size = 6, color = white
Cursor moved to (400, 126), brush_size = 6, color = white
Cursor moved to (402, 125), brush_size = 6, color = white
Cursor moved to (405, 123), brush_size = 6, color = white
Cursor moved to (410, 121), brush_size = 6, color = white
Cursor moved to (415, 119), brush_size = 6, color = white
Cursor moved to (421, 116), brush_size = 6, color = white
Cursor moved to (427, 113), brush_size = 6, color = white
Cursor moved to (433, 110), brush_size = 6, color = white
Cursor moved to (440, 107), brush_size = 6, color = white
Cursor moved to (446, 104), brush_size = 6, color = white
Cursor moved to (452, 101), brush_size = 6, color = white
Cursor moved to (457, 98), brush_size = 6, color = white
Cursor moved to (462, 96), brush_size = 6, color = white
Cursor moved to (466, 94), brush_size = 6, color = white
Cursor moved to (468, 93), brush_size = 6, color = white
Cursor moved to (470, 92), brush_size = 6, color = white
Cursor moved to (471, 92), brush_size = 6, color = white
Cursor moved to (473, 92), brush_size = 6, color = white
Cursor moved to (475, 92), brush_size = 6, color = white
Cursor moved to (476, 92), brush_size = 6, color = white
Cursor moved to (478, 92), brush_size = 6, color = white
Cursor moved to (479, 92), brush_size = 6, color = white
Cursor moved to (480, 92), brush_size = 6, color = white
Cursor moved to (481, 92), brush_size = 6, color = white
Cursor moved to (482, 94), brush_size = 6, color = white
Cursor moved to (484, 95), brush_size = 6, color = white
Cursor moved to (484, 96), brush_size = 6, color = white
Cursor moved to (485, 100), brush_size = 6, color = white
Cursor moved to (486, 102), brush_size = 6, color = white
Cursor moved to (487, 106), brush_size = 6, color = white
Cursor moved to (487, 110), brush_size = 6, color = white
Cursor moved to (487, 114), brush_size = 6, color = white
Cursor moved to (487, 121), brush_size = 6, color = white
Cursor moved to (486, 126), brush_size = 6, color = white
Cursor moved to (486, 132), brush_size = 6, color = white
Cursor moved to (486, 138), brush_size = 6, color = white
Cursor moved to (486, 141), brush_size = 6, color = white
Cursor moved to (486, 145), brush_size = 6, color = white
Cursor moved to (489, 148), brush_size = 6, color = white
Cursor moved to (493, 150), brush_size = 6, color = white
Cursor moved to (497, 151), brush_size = 6, color = white
Cursor moved to (502, 152), brush_size = 6, color = white
Cursor moved to (508, 152), brush_size = 6, color = white
Cursor moved to (517, 152), brush_size = 6, color = white
Cursor moved to (525, 151), brush_size = 6, color = white
Cursor moved to (534, 148), brush_size = 6, color = white
